0.1920412,0.2947779,-0.07631645,0.3292102,0.4510573,-0.0634409,0.1402473,-0.3904069,0.1335905,-0.2874718,-0.1543532,-0.2821763,-0.2991415,0.09717941,-0.1260762,-0.1990822,-0.01441202,0.1117934,-0.05280063,-0.07481625,0.02256456,-0.009458484,-0.03630786,-0.03189237,-0.006363704
0.2175475,0.1822551,0.2794961,0.1350829,0.3123018,0.2588875,0.2387607,0.1458543,-0.1511381,-0.2957637,0.06718092,0.4718317,0.1734496,0.1855257,0.1723483,0.3236057,0.02080558,-0.01716254,0.1324667,0.128049,0.03746307,0.06278147,0.01261843,0.0563811,0.02266678
0.2305615,-0.02351093,0.3861281,0.1201896,0.02860537,-0.1951781,0.2919914,0.4505055,0.06740987,-0.04497303,0.0990699,-0.235893,0.2635601,-0.1879902,-0.3563851,-0.203552,0.01856289,-0.1690178,-0.2449649,-0.0786889,0.03108838,-0.1045638,0.03908212,-0.01452162,-0.0399569
0.2306395,-0.1943903,0.2085846,0.253945,-0.2325623,-0.2225833,0.2521576,-0.09616855,-0.2604809,0.1221287,0.1781676,-0.278266,-0.06985193,0.08798188,0.5001586,-0.1170443,-0.004665135,0.06587388,0.3428958,-0.07758847,-0.06419915,0.1396387,0.01812221,-0.03283675,0.05617859
0.2224744,-0.2738794,-0.02680403,0.3882479,-0.3711801,0.2176667,0.2620093,-0.2787416,0.2558145,0.1635025,0.09588462,0.2956249,-0.198178,-0.1280767,-0.2292151,0.1645035,0.06631405,0.0708275,-0.2007419,0.09320813,-0.01868137,-0.08184323,-0.03998191,0.02243591,-0.03084167
0.1869657,0.3064373,-0.1558047,0.241579,0.1350899,-0.1348112,-0.1660113,-0.1181432,0.05854346,0.3531738,-0.04025544,-0.07041369,0.2528478,-0.3522427,0.1073151,0.2362702,-0.08515698,-0.304582,0.06514017,0.1826801,-0.2659283,-0.02749529,0.2569449,0.2089393,0.04112607
0.2129485,0.1878086,0.2236914,-0.02951969,0.0768933,0.3479088,-0.2019219,0.0382902,-0.1829599,0.3071128,-0.08412818,0.1871376,-0.1272415,-0.2005531,0.178763,-0.2825558,-0.13406,0.1428486,-0.1737886,-0.3315814,-0.2122814,-0.1801438,-0.06981492,-0.2934131,-0.1190619
0.2259657,-0.02789071,0.3206374,-0.08075543,0.01479356,-0.1525938,-0.2226796,0.2168831,0.2396058,0.1486625,-0.3120064,-0.01785714,-0.2568678,-0.02461344,-0.1690205,0.1687135,-0.2134182,0.3108483,0.215872,0.207236,-0.07618415,0.2746103,-0.2382689,0.1011892,0.1948286
0.2238898,-0.2112606,0.1022762,0.06759463,-0.03792535,-0.2085827,-0.2915214,-0.10376,-0.37813,-0.05084104,-0.2515599,-0.06906663,0.001562655,0.2430442,0.05767968,0.1861571,-0.1561193,-0.04360374,-0.3479964,0.1982049,0.2149779,-0.3369986,-0.03633599,0.1306195,-0.2720596
0.2146045,-0.2876609,-0.1403945,0.2210952,-0.08635834,0.2460101,-0.235961,0.007597838,0.1025279,-0.1307838,-0.3339743,0.04470719,0.2930429,0.1640701,-0.09985648,-0.202657,-0.2350698,-0.2613893,0.2071351,-0.2504253,0.157766,0.2084307,0.1947511,-0.1181414,0.1564644
0.1761099,0.2830946,-0.2117951,0.1479179,-0.05757838,-0.1527205,-0.128423,0.04167642,0.04986732,0.2240756,0.1523208,0.001172528,0.2557428,0.06155115,-0.02623764,0.1441249,0.1818185,0.08075031,0.05600622,-0.0573548,0.4587518,0.08875417,-0.4435147,-0.3795234,-0.07487436
0.197511,0.1760067,0.1069661,-0.1175575,-0.06148496,0.3076097,-0.1585467,-0.0613507,-0.1128669,0.1730976,0.1728564,-0.07647735,-0.102842,0.04909272,-0.03395469,-0.3126458,0.2793825,-0.06626833,-0.0737776,0.127425,0.3916466,0.1463759,0.06398729,0.50953,0.2108861
0.2075357,-0.01076518,0.1815225,-0.1771148,0.006583772,-0.1205424,-0.1899719,0.0124478,0.3473347,-0.008509144,0.02902467,0.04644347,-0.2263909,0.08505829,0.03345706,0.09959784,0.3933962,-0.08349799,0.2458882,-0.08739891,0.1121884,-0.1366975,0.4753061,-0.1805485,-0.3589099
0.2054387,-0.1693678,-0.009867462,-0.05671389,0.06826039,-0.1928241,-0.2536157,-0.1089934,-0.2472235,-0.1800651,0.09956612,0.06952658,-0.01802566,-0.05534547,-0.1076145,0.1230614,0.4329158,-0.02221863,-0.2441702,-0.07840648,-0.2804103,0.1406602,0.0360189,-0.2418527,0.5074149
0.1961993,-0.2312818,-0.2133259,0.07562464,0.071931,0.1844808,-0.188554,0.1557931,0.1111128,-0.2215928,0.01453899,-0.109791,0.1991902,-0.0865891,0.09898555,-0.17897,0.34196,0.1446321,0.1690263,0.1309917,-0.3419046,-0.121243,-0.3623345,0.238693,-0.3026475
0.1699898,0.2722027,-0.260286,0.06215239,-0.2375217,-0.1738202,-0.05712086,0.200154,0.01626866,-0.009024113,0.1959258,0.1130496,0.08253668,0.4244909,-0.1301841,-0.02603725,-0.1387174,0.4093004,-0.06253659,-0.2464901,-0.2299605,-0.1096666,0.2529051,0.2377315,0.04975607
0.1881259,0.1697465,0.0207875,-0.207964,-0.1993853,0.2714342,-0.03261297,-0.1100456,-0.07681823,-0.07987344,0.270372,-0.262872,-0.004759118,0.2437469,-0.2227148,-0.01171184,-0.2168273,-0.1878615,0.0350436,0.4340616,-0.2723469,0.1338842,0.006325945,-0.3422682,-0.1436033
0.196071,-0.0001431526,0.07733565,-0.2788628,-0.02684217,-0.1082409,-0.03239509,-0.1587317,0.3935193,-0.1234033,0.234937,0.06344342,-0.02147505,0.1027553,0.2205938,0.01734454,-0.237281,-0.3633701,-0.01926666,-0.2102701,-0.02893005,-0.3289287,-0.351712,0.1332809,0.2577204
0.1941296,-0.1467504,-0.09835897,-0.175653,0.1344703,-0.1784602,-0.07223164,-0.1501503,-0.1657802,-0.1424054,0.3424749,0.1754593,-0.0616076,-0.3240106,-0.1552864,0.02212842,-0.2803057,0.01170154,0.01911358,-0.2391859,0.08197713,0.4210998,-0.00963112,0.1741146,-0.3776242
0.1854141,-0.201705,-0.2763856,-0.0508925,0.1855928,0.1535215,-0.01945689,0.233694,0.1044716,-0.1079279,0.2427991,-0.1694922,-0.07504088,-0.2666093,0.228633,0.05507123,-0.2405147,0.3084857,-0.07807773,0.2388373,0.2811344,-0.2033519,0.2553966,-0.1798019,0.2379048
0.1670497,0.2679135,-0.2925545,-5.953782e-05,-0.3369215,-0.1908576,0.1079223,0.2975543,-0.1042836,-0.2827809,-0.2577919,0.2450278,-0.3536594,-0.204628,0.1579984,-0.2107035,0.02532707,-0.2694306,-0.02365097,0.1694868,0.03220475,0.05303746,-0.04514321,-0.04874231,-0.01320307
0.1831806,0.165729,-0.02814113,-0.2802272,-0.2775448,0.2402261,0.1975987,-0.112911,-0.1738042,-0.1885737,-0.2718172,-0.3245923,0.08827073,-0.2568941,-0.1087391,0.4041616,0.07283841,0.1271456,0.1569501,-0.3146988,0.06148801,-0.14252,-0.0078835,0.09075881,0.0402946
0.1893559,0.004796625,0.0008024867,-0.3563519,-0.03369553,-0.1145213,0.2569145,-0.2480971,0.2504996,0.03819141,-0.2756582,0.08337002,0.3874762,0.03082278,0.2801218,-0.1758564,0.05469554,0.2254055,-0.3452238,0.1555081,-0.01680885,0.2705609,0.09894994,-0.04445782,-0.07268548
0.1862303,-0.133629,-0.1678924,-0.2572834,0.198961,-0.165104,0.2577549,-0.1401391,-0.2465238,0.2559522,-0.08694229,0.2492453,0.06513373,0.02372548,-0.3244356,-0.2516268,0.009137798,0.02636181,0.4095742,0.1614197,0.02123875,-0.3483498,-0.010544,-0.0461943,0.1103657
0.1783525,-0.1831372,-0.3252631,-0.1358827,0.2745916,0.1348463,0.2748686,0.2903648,-0.01756499,0.357056,-0.09582192,-0.1594505,-0.2522427,0.2935257,0.05385551,0.226639,0.07725253,-0.2440126,-0.1881612,-0.1809349,-0.09382781,0.190356,-0.06188013,0.04987784,-0.07403244
